N,M,Area,Ejecucion(ms),Busqueda(h(t)),Movimientos,Giros
6,6,36,0.625,207.41666666666657,63,35
6,6,36,0.2797,121.4166666666667,38,19
6,6,36,0.1076,33.49999999999999,13,5
6,6,36,1.3084,283.9999999999997,82,48
6,6,36,0.1448,42.583333333333336,15,7
6,6,36,1.0454,285.8333333333333,76,50
7,7,49,0.3159,62.91666666666667,27,9
7,7,49,0.9777,216.83333333333317,70,34
7,7,49,0.1841,57.91666666666667,19,10
7,7,49,0.4452,74.66666666666669,39,9
7,7,49,0.8061,80.83333333333334,30,13
7,7,49,0.3728,92.24999999999996,38,12
7,7,49,0.5628,150.0000000000001,45,26
7,7,49,0.1658,169.0833333333334,55,30
7,7,49,0.2627,225.1666666666668,72,38
7,7,49,0.1454,80.58333333333331,33,11
8,8,64,0.0799,46.0,17,7
8,8,64,0.7505,397.50000000000017,118,68
8,8,64,0.0913,40.0,18,5
8,8,64,0.0816,61.83333333333336,23,10
8,8,64,0.1992,145.58333333333331,50,24
8,8,64,0.196,78.33333333333336,29,12
8,8,64,0.3103,142.74999999999994,56,20
8,8,64,0.1762,100.49999999999999,37,15
8,8,64,0.2454,139.66666666666663,49,22
8,8,64,0.1998,44.91666666666666,28,4
9,9,81,0.2768,185.83333333333334,66,30
9,9,81,0.2723,156.16666666666657,64,23
9,9,81,0.1393,66.74999999999999,24,10
9,9,81,0.1786,95.00000000000003,31,14
9,9,81,0.1694,81.41666666666666,34,11
9,9,81,0.1341,94.74999999999999,39,13
9,9,81,0.3599,143.83333333333331,54,22
9,9,81,0.3092,146.00000000000003,60,21
9,9,81,0.3952,59.75000000000001,34,5
10,10,100,1.2937,269.66666666666663,111,34
10,10,100,0.5827,211.3333333333334,76,34
10,10,100,0.1437,88.83333333333331,32,14
10,10,100,0.2021,133.74999999999997,53,21
10,10,100,0.4347,190.4166666666668,68,30
10,10,100,0.1984,122.83333333333327,50,17
10,10,100,0.73,475.16666666666674,162,73
10,10,100,0.2113,130.24999999999994,57,19
10,10,100,0.412,93.99999999999996,47,11
10,10,100,0.5737,237.3333333333334,96,34
11,11,121,0.7914,853.1666666666649,266,140
11,11,121,0.0784,51.250000000000014,26,6
11,11,121,0.2028,137.41666666666663,58,20
11,11,121,0.0862,120.24999999999996,49,17
11,11,121,0.0849,163.41666666666669,63,24
11,11,121,0.0209,33.75,14,5
11,11,121,0.2116,347.9166666666665,136,52
11,11,121,0.0977,146.74999999999997,69,18
11,11,121,0.063,89.16666666666663,40,13
11,11,121,0.0348,24.416666666666668,13,2
12,12,144,0.1972,300.50000000000006,141,41
12,12,144,0.4487,748.1666666666664,248,121
12,12,144,0.6488,720.4166666666671,276,111
12,12,144,0.071,78.75,37,10
12,12,144,0.8071,1034.666666666667,352,166
12,12,144,0.2221,455.8333333333331,172,69
12,12,144,0.3074,509.1666666666659,172,87
12,12,144,0.1429,266.33333333333354,113,38
12,12,144,0.0996,174.5833333333333,75,24
12,12,144,0.0448,91.99999999999996,46,11
13,13,169,0.196,302.5833333333333,129,43
13,13,169,0.0723,195.6666666666667,77,29
13,13,169,0.5357,665.0833333333335,248,103
13,13,169,0.5065,935.0833333333356,301,158
13,13,169,0.482,735.3333333333343,269,114
13,13,169,0.0245,35.916666666666664,20,4
13,13,169,0.2472,335.5833333333332,133,51
13,13,169,0.1814,216.4166666666668,101,27
13,13,169,0.3053,537.4166666666665,178,88
13,13,169,0.227,455.4166666666665,177,68
14,14,196,0.3084,446.41666666666623,184,64
14,14,196,0.1016,162.83333333333331,76,21
14,14,196,0.1955,274.16666666666663,116,37
14,14,196,0.0537,67.91666666666667,33,9
14,14,196,0.5563,647.2500000000001,245,98
14,14,196,0.0426,42.416666666666664,23,5
14,14,196,0.4383,486.16666666666606,202,68
14,14,196,0.1494,203.25000000000014,99,25
14,14,196,0.8539,458.24999999999955,168,70
14,14,196,0.5891,919.2500000000022,330,148
15,15,225,0.1896,321.5833333333336,140,44
15,15,225,0.3221,355.75000000000006,158,45
15,15,225,0.0268,40.08333333333334,16,5
15,15,225,0.5009,691.8333333333334,287,95
15,15,225,0.2685,411.6666666666662,189,55
15,15,225,1.187,1374.4999999999995,474,227
15,15,225,0.1751,283.2499999999999,123,33
15,15,225,0.3961,460.99999999999966,158,77
15,15,225,0.1783,375.9999999999999,145,57
15,15,225,1.2139,1255.5833333333326,434,204
16,16,256,0.2314,423.74999999999966,163,63
16,16,256,1.0302,1147.2500000000007,423,183
16,16,256,0.269,461.1666666666662,201,57
16,16,256,0.0139,26.58333333333333,17,2
16,16,256,0.2834,377.6666666666666,158,55
16,16,256,1.062,1142.5833333333348,428,177
16,16,256,0.9324,988.4166666666691,351,158
16,16,256,0.4203,520.9999999999999,218,69
16,16,256,0.8358,923.9166666666688,343,145
16,16,256,0.0602,126.41666666666663,49,20
17,17,289,0.0896,132.0,67,14
17,17,289,1.0795,1017.5000000000025,387,155
17,17,289,0.1455,302.00000000000006,130,39
17,17,289,0.2904,521.5833333333326,207,78
17,17,289,0.3729,384.49999999999955,155,55
17,17,289,0.2166,318.6666666666667,137,42
17,17,289,0.6061,747.6666666666665,306,105
17,17,289,3.3871,2410.4999999999823,785,404
17,17,289,0.1499,281.25000000000006,129,40
17,17,289,2.3665,1781.9166666666592,638,282
18,18,324,0.6217,644.6666666666671,267,90
18,18,324,1.7578,1518.1666666666613,558,239
18,18,324,1.5309,1016.0000000000017,402,148
18,18,324,0.8565,677.0833333333333,291,88
18,18,324,0.0415,60.666666666666664,35,4
18,18,324,0.2207,342.16666666666634,155,45
18,18,324,1.1388,1140.9166666666672,432,167
18,18,324,0.038,78.25000000000003,37,9
18,18,324,0.3196,540.4166666666661,223,75
18,18,324,2.1223,1801.333333333325,633,293
19,19,361,0.5194,721.6666666666673,289,107
19,19,361,0.0205,22.0,17,1
19,19,361,1.138,864.8333333333346,358,122
19,19,361,2.9371,2043.833333333322,759,316
19,19,361,1.1143,1078.0000000000016,428,161
19,19,361,0.7655,648.0833333333331,267,91
19,19,361,0.4868,655.0000000000002,281,92
19,19,361,0.4448,557.8333333333331,239,75
19,19,361,4.7031,2898.4166666666374,977,459
19,19,361,1.2413,991.7500000000018,417,141
20,20,400,0.8952,876.4166666666682,361,125
20,20,400,0.5399,727.4166666666674,285,110
20,20,400,0.7246,842.6666666666678,349,116
20,20,400,0.7208,844.8333333333347,346,123
20,20,400,0.2979,403.4999999999997,188,52
20,20,400,0.0267,66.58333333333334,30,9
20,20,400,0.9751,1035.6666666666692,395,157
20,20,400,1.2428,1050.0833333333367,447,147
20,20,400,0.4141,610.6666666666667,249,87
20,20,400,0.7739,794.000000000001,353,103
21,21,441,0.9949,670.0000000000002,302,87
21,21,441,1.7836,1474.749999999997,550,225
21,21,441,2.5328,1819.0833333333273,698,268
21,21,441,0.772,867.5000000000016,364,122
21,21,441,1.0712,1062.5000000000018,407,158
21,21,441,2.4376,1302.416666666666,521,183
21,21,441,6.549,3119.666666666646,1086,476
21,21,441,3.7951,2344.8333333333294,861,363
21,21,441,0.3387,484.08333333333246,214,66
21,21,441,0.2151,348.0833333333332,164,43
22,22,484,2.9738,1706.4999999999927,691,240
22,22,484,1.1709,1017.1666666666698,436,138
22,22,484,0.0988,101.08333333333333,52,11
22,22,484,0.5732,651.916666666667,290,86
22,22,484,15.322,5623.583333333404,1749,894
22,22,484,0.5973,747.6666666666678,307,108
22,22,484,2.5851,1823.6666666666595,716,274
22,22,484,3.5999,2091.833333333326,794,321
22,22,484,3.4347,1898.3333333333246,716,288
22,22,484,15.6076,6147.3333333334085,1765,1013
23,23,529,2.8877,1696.66666666666,675,247
23,23,529,2.8294,1888.7499999999911,710,287
23,23,529,3.1663,1890.916666666659,780,261
23,23,529,0.8617,827.4166666666672,379,102
23,23,529,2.5643,1751.333333333325,691,262
23,23,529,3.118,2080.833333333324,796,312
23,23,529,0.3425,370.4999999999997,183,41
23,23,529,1.5228,1173.6666666666663,507,153
23,23,529,1.7435,1367.4166666666654,545,196
23,23,529,0.5178,655.1666666666669,291,85
24,24,576,2.3006,1694.0833333333285,652,251
24,24,576,6.811,3038.4166666666833,1113,482
24,24,576,0.1047,134.83333333333331,78,13
24,24,576,8.6799,3530.583333333359,1300,541
24,24,576,5.839,2771.833333333344,1044,415
24,24,576,0.8251,927.8333333333355,376,134
24,24,576,8.8893,3265.333333333354,1272,483
24,24,576,0.3148,460.2499999999994,210,60
24,24,576,0.3791,472.4166666666662,225,57
24,24,576,5.6718,2278.6666666666683,911,320
25,25,625,0.1275,232.25000000000003,120,27
25,25,625,5.6394,1794.7499999999945,745,246
25,25,625,4.4578,2422.25,941,360
25,25,625,3.8406,2122.416666666659,871,304
25,25,625,19.9978,6109.083333333457,1951,1001
25,25,625,1.7311,1346.9166666666663,565,187
25,25,625,5.7161,2564.58333333334,1038,364
25,25,625,0.616,770.8333333333355,320,114
25,25,625,3.9127,2206.166666666659,836,328
25,25,625,0.2078,341.66666666666663,160,45
26,26,676,0.2543,337.08333333333337,185,35
26,26,676,0.9951,1087.2500000000018,431,157
26,26,676,7.2276,2149.1666666666574,870,309
26,26,676,7.6421,3111.9166666666824,1195,469
26,26,676,18.8522,5634.166666666781,1881,883
26,26,676,1.459,1254.3333333333323,519,173
26,26,676,1.6029,1016.3333333333348,407,145
26,26,676,3.1588,1969.8333333333233,785,288
26,26,676,1.2428,1033.5000000000023,431,144
26,26,676,0.2485,371.0833333333335,183,41
27,27,729,3.0615,1392.1666666666642,556,205
27,27,729,1.8808,1237.3333333333337,539,164
27,27,729,2.4291,1486.7499999999982,651,195
27,27,729,19.8553,5705.000000000086,1860,922
27,27,729,4.7779,2303.249999999996,975,322
27,27,729,0.3766,417.16666666666646,227,40
27,27,729,0.7066,396.4166666666665,195,46
27,27,729,0.7932,759.8333333333338,363,88
27,27,729,10.0702,3593.4166666666947,1370,543
27,27,729,7.4316,2998.333333333347,1167,453
28,28,784,19.3448,4400.166666666704,1624,675
28,28,784,2.5743,1460.2499999999998,654,186
28,28,784,2.571,1799.4166666666615,686,272
28,28,784,1.7557,1112.9999999999993,476,151
28,28,784,8.2648,2308.5833333333285,965,319
28,28,784,2.6745,1194.1666666666665,526,160
28,28,784,0.6201,761.5833333333342,311,107
28,28,784,10.3363,2904.5833333333508,1184,418
28,28,784,7.6919,2996.8333333333453,1172,444
28,28,784,32.4581,5454.250000000072,1919,832
29,29,841,12.2596,3154.833333333348,1204,485
29,29,841,20.476,3587.166666666693,1443,508
29,29,841,11.2859,3411.5000000000196,1339,498
29,29,841,3.0926,1822.249999999993,717,266
29,29,841,3.5735,1679.666666666665,669,244
29,29,841,18.6922,4135.666666666695,1599,610
29,29,841,3.7297,1765.3333333333262,802,231
29,29,841,0.0958,170.74999999999997,96,14
29,29,841,1.9758,1420.7499999999989,580,200
29,29,841,21.8364,4381.666666666695,1676,661
30,30,900,3.9944,2174.1666666666606,854,318
30,30,900,11.5655,3052.916666666678,1220,440
30,30,900,8.1088,2730.583333333342,1085,396
30,30,900,2.3703,1182.0833333333355,519,158
30,30,900,6.3308,2352.1666666666674,950,339
30,30,900,2.1056,1386.75,594,188
30,30,900,15.5317,3683.500000000015,1457,528
30,30,900,15.5654,4108.666666666702,1602,607
30,30,900,2.0181,1176.0833333333323,537,151
30,30,900,27.4298,4486.500000000008,1751,657
31,31,961,6.856,2208.499999999994,942,296
31,31,961,1.6513,927.5000000000034,397,131
31,31,961,38.3157,5165.999999999998,2024,749
